Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Datetime,Date
1458345600,407.5,407.5,406.89,406.89,8.525,3469.2628721,406.95165655,2016-03-19T00:00:00Z,2016-03-19
1458432000,408.36,408.36,408.36,408.36,0.2142656,87.497500416,408.36,2016-03-20T00:00:00Z,2016-03-20
1458518400,410.62,410.98,410.6,410.98,26.55447814,10903.563967,410.61111839,2016-03-21T00:00:00Z,2016-03-21
1458691200,416.39,416.39,416.39,416.39,0.18891802,78.663574348,416.39,2016-03-23T00:00:00Z,2016-03-23
1458777600,417.62,417.9,417.62,417.9,0.30717041,128.31492387,417.73204609,2016-03-24T00:00:00Z,2016-03-24
1458864000,415.17,415.17,415.17,415.17,0.03644551,15.131082387,415.17,2016-03-25T00:00:00Z,2016-03-25
1458950400,415.6,415.98,415.6,415.98,0.58711075,244.15789689,415.86344125,2016-03-26T00:00:00Z,2016-03-26
1459036800,416.96,416.97,416.96,416.97,4.65330756,1940.2605038,416.96373574,2016-03-27T00:00:00Z,2016-03-27
1459123200,424.62,424.62,424.62,424.62,0.04645202,19.724456732,424.62,2016-03-28T00:00:00Z,2016-03-28
1459209600,422.87,423,422.87,423,2.97466448,1258.0217883,422.91216262,2016-03-29T00:00:00Z,2016-03-29
1459296000,415.43,415.93,415.35,415.81,5.77138729,2399.9702469,415.83940331,2016-03-30T00:00:00Z,2016-03-30
1459382400,413.68,413.74,413.63,413.63,0.50020777,206.9304477,413.68899108,2016-03-31T00:00:00Z,2016-03-31
1459468800,414.66,414.66,414.46,414.46,0.29209991,121.0953287,414.56818216,2016-04-01T00:00:00Z,2016-04-01
1459555200,416.31,416.31,416.31,416.31,0.4806196,200.08674568,416.31,2016-04-02T00:00:00Z,2016-04-02
1459641600,419.35,419.37,419.17,419.17,0.34345372,144.01261977,419.30720615,2016-04-03T00:00:00Z,2016-04-03
1459728000,418.51,419.21,418.27,418.5,1.31525975,550.41493688,418.48382944,2016-04-04T00:00:00Z,2016-04-04
1459814400,418.81,418.81,418.81,418.81,0.0299,12.522419,418.81,2016-04-05T00:00:00Z,2016-04-05
1459900800,422.71,422.71,422.71,422.71,0.39154792,165.51122126,422.71,2016-04-06T00:00:00Z,2016-04-06
1460073600,419.99,419.99,419.73,419.73,4.43452318,1861.9988238,419.88704269,2016-04-08T00:00:00Z,2016-04-08
1460160000,417.75,417.75,417.75,417.75,0.4073614,170.17522485,417.75,2016-04-09T00:00:00Z,2016-04-09
1460246400,418.59,418.59,418.54,418.54,0.16289195,68.178250558,418.54892497,2016-04-10T00:00:00Z,2016-04-10
1460332800,420.4,420.4,420.4,420.4,0.27724702,116.55464721,420.4,2016-04-11T00:00:00Z,2016-04-11
1460419200,422.79,422.79,422.79,422.79,0.31957185,135.11178246,422.79,2016-04-12T00:00:00Z,2016-04-12
1460505600,425.32,425.32,424.63,424.64,9.20570016,3909.4282279,424.67472979,2016-04-13T00:00:00Z,2016-04-13
1460592000,423.6,423.6,423.58,423.58,5.45775083,2311.8247381,423.58561432,2016-04-14T00:00:00Z,2016-04-14
1460678400,424.4,424.4,424.4,424.4,0.3452742,146.53437048,424.4,2016-04-15T00:00:00Z,2016-04-15
1460851200,430.18,430.18,430.18,430.18,0.02897514,12.464525725,430.18,2016-04-17T00:00:00Z,2016-04-17
1460937600,427.15,427.4,427.15,427.4,0.23323051,99.664012734,427.31979077,2016-04-18T00:00:00Z,2016-04-18
1461024000,428.14,428.14,427.63,427.63,1.68257144,719.67102489,427.72093225,2016-04-19T00:00:00Z,2016-04-19
1461110400,435.7,435.7,435.7,435.7,0.34342437,149.62999801,435.7,2016-04-20T00:00:00Z,2016-04-20
1461196800,441.99,441.99,441.99,441.99,1.0194,450.564606,441.99,2016-04-21T00:00:00Z,2016-04-21
1461283200,451,451,451,451,0.1414,63.7714,451,2016-04-22T00:00:00Z,2016-04-22
1461369600,447.16,447.16,447.16,447.16,0.01120404,5.0099985264,447.16,2016-04-23T00:00:00Z,2016-04-23
1461456000,451.92,451.92,451.92,451.92,18.45154133,8338.6205579,451.92,2016-04-24T00:00:00Z,2016-04-24
1461542400,460.03,460.03,460.03,460.03,0.01089059,5.0099981177,460.03,2016-04-25T00:00:00Z,2016-04-25
1461628800,462.29,462.29,462.27,462.27,14.19005682,6559.6654928,462.27196804,2016-04-26T00:00:00Z,2016-04-26
1461715200,467.39,467.39,467.39,467.39,0.025,11.68475,467.39,2016-04-27T00:00:00Z,2016-04-27
1461801600,445.39,445.59,445.38,445.59,5.03615854,2243.2118441,445.42121268,2016-04-28T00:00:00Z,2016-04-28
1461888000,449.94,449.94,449.94,449.94,0.19432724,87.435598366,449.94,2016-04-29T00:00:00Z,2016-04-29
1461974400,456.53,456.53,456.31,456.31,6.28085737,2867.2998874,456.51409012,2016-04-30T00:00:00Z,2016-04-30
1462320000,451.18,451.45,451.18,451.45,0.87232584,393.76229898,451.39359735,2016-05-04T00:00:00Z,2016-05-04
1462406400,447.36,447.36,447.36,447.36,2.07321173,927.47199953,447.36,2016-05-05T00:00:00Z,2016-05-05
1462492800,448.5,449.28,448.31,448.34,3.75967717,1685.8372489,448.39946961,2016-05-06T00:00:00Z,2016-05-06
1462579200,458.98,459,458.82,459,22.57898526,10363.698414,458.99752776,2016-05-07T00:00:00Z,2016-05-07
1462665600,458.97,458.97,458.97,458.97,1.37757662,632.26634128,458.97,2016-05-08T00:00:00Z,2016-05-08
1462752000,457.75,457.75,457.69,457.69,6.52428526,2986.1010438,457.69014149,2016-05-09T00:00:00Z,2016-05-09
1462838400,461.49,461.49,461.49,461.49,0.25804607,119.08568084,461.49,2016-05-10T00:00:00Z,2016-05-10
1462924800,450.88,450.88,450.34,450.86,9.85894762,4442.0710585,450.56239568,2016-05-11T00:00:00Z,2016-05-11
1463011200,452.95,452.95,452.44,452.44,3.84954632,1741.8706464,452.48725477,2016-05-12T00:00:00Z,2016-05-12
1463097600,455.2,455.2,455.2,455.2,0.05564817,25.331046984,455.2,2016-05-13T00:00:00Z,2016-05-13
1463184000,456.42,456.42,456.42,456.42,0.1233678,56.307531276,456.42,2016-05-14T00:00:00Z,2016-05-14
1463356800,457.56,457.83,457.56,457.83,8.58572081,3929.6623762,457.69743312,2016-05-16T00:00:00Z,2016-05-16
